Результаты соревнований

Группа МБ
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Ухванов Андрей;1992;МС;01:03:41;;1;305;0;305
2;Козырев Андрей;1993;МС;01:05:29;+00:01:48;2;152,5;95,92;248
3;Тихончук Алексей;1996;МС;01:12:29;+00:08:48;3;101,67;73,57;175
4;Краснояров Евгений;1983;МС;01:14:32;+00:10:51;4;76,25;67,02;143
5;Мизонов Сергей;1999;МС;01:20:22;+00:16:41;5;61,0;48,40;109
6;Милованов Виктор;1983;I;01:25:48;+00:22:07;6;50,83;31,05;82
7;Екишев Евгений;1997;МС;01:27:54;+00:24:13;7;43,57;24,35;68
8;Щекин Артём;1989;I;01:28:34;+00:24:53;8;38,12;22,22;60
9;Кротков Михаил;1975;МС;01:29:53;+00:26:12;9;33,89;18,01;52
10;Козырев Евгений;2000;КМС;01:30:36;+00:26:55;10;30,5;15,72;46
11;Ларичев Александр;1978;МС;01:39:17;+00:35:36;11;27,73;0;28
12;Цветков Антон;1967;I;01:41:47;+00:38:06;12;25,42;0;25
13;Бусурин Валерий;1963;МС;01:47:30;+00:43:49;13;23,46;0;23
14;Соловьёв Сергей;2002;I;01:53:57;+00:50:16;14;21,79;0;22
15;Пестряков Николай;2000;I;02:04:27;+01:00:46;15;20,33;0;20
16;Морозов Сергей;1981;МС;00:00:00;;;0;0;0
17;Зыбов Константин;1984;МС;1.00:00:04;;;0;0;0
18;Брусенцов Даниил;2002;I;1.00:00:13;;;0;0;0
19;Гетманский Сергей;2001;КМС;8.00:00:19;;;0;0;0
20;Соловьёв Алексей;1985;КМС;8.00:00:20;;;0;0;0
21;. ;;;8.00:00:22;;;0;0;0


Группа ЖБ
№;Фамилия, Имя;Г.Р.;Разряд;Результат;Отставание;Место;Баллы за место;Баллы за время;Всего баллов
1;Степанова Екатерина;1998;МС;01:08:25;;1;155;0;155
2;Милованова Мария;1983;КМС;01:18:14;+00:09:49;2;77,5;36,84;114
3;Додонова Анна;1986;МС;01:18:50;+00:10:25;3;51,67;35,93;88
4;Макарова Наталья;1973;КМС;01:37:23;+00:28:58;4;38,75;7,92;47
5;Шикуло Наталья;1975;I;01:44:47;+00:36:22;5;31,0;0;31
6;Касаткина Ольга;1986;МС;8.00:00:53;;;0;0;0
7;. ;;;8.00:00:57;;;0;0;0


Группа М14
